MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIBUS,198312,1249.326,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198313,13212.591,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198401,1270.801,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198402,1102.683,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198403,1150.715,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198404,1003.664,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198405,1044.654,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198406,1202.143,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198407,1273.63,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198408,1337.709,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198409,1140.396,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198410,1155.333,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198411,1144.294,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198412,1193.464,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198413,14019.485,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198501,1333.926,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198502,1163.029,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198503,1148.21,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198504,1066.866,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198505,1144.261,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198506,1207.961,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198507,1346.657,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198508,1322.015,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198509,1190.05,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198510,1152.095,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198511,1138.304,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198512,1328.835,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198513,14542.209,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198601,1350.088,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198602,1160.681,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198603,1136.389,1,Coal Consumed by the Electric Power Sector,Trillion Btu
